key,value,label,zoom,usa only
amenity,arts_centre,arts_centre,18,false
amenity,atm,atm,18,false
amenity,bank,bank,18,false
amenity,bar,bar,18,false
amenity,bbq,bbq,18,false
amenity,bench,bench,18,false
amenity,bicycle_parking,bicycle_parking,18,false
amenity,bicycle_rental,bicycle_rental,18,false
amenity,bus_station,bus_station,18,false
amenity,cafe,cafe,18,false
amenity,car_wash,car_wash,18,false
amenity,cinema,cinema,18,false
amenity,clinic,clinic,18,false
amenity,college,college,18,false
amenity,community_centre,community_centre,18,false
amenity,courthouse,courthouse,18,false
amenity,dentist,dentist,18,false
amenity,doctors,doctors,18,false
amenity,drinking_water,drinking_water,18,false
amenity,fast_food,fast_food,18,false
amenity,ferry_terminal,ferry_terminal,18,false
amenity,fire_station,fire_station,18,false
amenity,fountain,fountain,18,false
amenity,fuel,fuel,18,false
amenity,grave_yard,grave_yard,18,false
amenity,hospital,hospital,18,false
amenity,hunting_stand,hunting_stand,18,false
amenity,kindergarten,kindergarten,18,false
amenity,library,library,18,false
amenity,marketplace,marketplace,18,false
amenity,nightclub,nightclub,18,false
amenity,nursing_home,nursing_home,18,false
amenity,parking,parking,18,false
amenity,parking_entrance,parking_entrance,18,false
amenity,parking_space,parking_space,18,false
amenity,pharmacy,pharmacy,18,false
amenity,place_of_worship,place_of_worship,18,false
amenity,police,police,18,false
amenity,post_box,post_box,18,false
amenity,post_office,post_office,18,false
amenity,pub,pub,18,false
amenity,public_building,public_building,18,false
amenity,public_building,public_building,18,false
amenity,recycling,recycling,18,false
amenity,restaurant,restaurant,18,false
amenity,school,school,18,false
amenity,shelter,shelter,18,false
amenity,social_facility,social_facility,18,false
amenity,swimming_pool,swimming_pool,18,false
amenity,taxi,taxi,18,false
amenity,telephone,telephone,18,false
amenity,theatre,theatre,18,false
amenity,toilets,toilets,18,false
amenity,townhall,townhall,18,false
amenity,university,university,18,false
amenity,vending_machine,vending_machine,18,false
amenity,veterinary,veterinary,18,false
amenity,waste_basket,waste_basket,18,false
amenity,waste_disposal,waste_disposal,18,false
attraction,roller_coaster,rollercoaster,18,false
barrier,block,block,18,false
barrier,bollard,bollard,18,false
barrier,cattle_grid,cattle_grid,18,false
barrier,cycle_barrier,cycle_barrier,18,false
barrier,entrance,entrance,18,false
barrier,fence,fence,18,false
