key,value,label,zoom,usa only
amenity,arts_centre,amenity-arts_centre,18,true
amenity,bank,amenity-bank,18,true
amenity,bar,amenity-bar,18,true
amenity,bench,amenity-bench,18,true
amenity,bicycle_parking,amenity-bicycle_parking,18,true
amenity,biergarten,amenity-biergarten,18,true
amenity,boat_storage,amenity-boat_storage,18,true
amenity,bus_station,amenity-bus_station,18,true
amenity,cafe,amenity-cafe,18,true
amenity,car_rental,amenity-car_rental,18,true
amenity,car_wash,amenity-car_wash,18,true
amenity,childcare,amenity-childcare,18,true
amenity,cinema,amenity-cinema,18,true
amenity,clinic,amenity-clinic,18,true
amenity,college,amenity-college,18,true
amenity,community_centre,amenity-community_centre,18,true
amenity,courthouse,amenity-courthouse,18,true
amenity,dentist,amenity-dentist,18,true
amenity,doctors,amenity-doctors,18,true
amenity,driving_school,amenity-driving_school,18,true
amenity,embassy,amenity-embassy,18,true
amenity,fast_food,amenity-fast_food,18,true
amenity,ferry_terminal,amenity-ferry_terminal,18,true
amenity,fire_station,amenity-fire_station,18,true
amenity,fountain,amenity-fountain,18,true
amenity,fuel,amenity-fuel,18,true
amenity,grave_yard,amenity-grave_yard,18,true
amenity,hospital,amenity-hospital,18,true
amenity,kindergarten,amenity-kindergarten,18,true
amenity,library,amenity-library,18,true
amenity,marketplace,amenity-marketplace,18,true
amenity,motorcycle_parking,amenity-motorcycle_parking,18,true
amenity,nightclub,amenity-nightclub,18,true
amenity,nursing_home,amenity-nursing_home,18,true
amenity,parking,amenity-parking,18,true
amenity,parking_space,amenity-parking_space,18,true
amenity,pharmacy,amenity-pharmacy,18,true
amenity,place_of_worship,amenity-place_of_worship,18,true
amenity,police,amenity-police,18,true
amenity,post_office,amenity-post_office,18,true
amenity,prison,amenity-prison,18,true
amenity,pub,amenity-pub,18,true
amenity,recycling,amenity-recycling,18,true
amenity,residential,amenity-residential,18,true
amenity,Residential,amenity-Residential,18,true
amenity,restaurant,amenity-restaurant,18,true
amenity,retirement_home,amenity-retirement_home,18,true
amenity,school,amenity-school,18,true
amenity,shelter,amenity-shelter,18,true
amenity,social_facility,amenity-social_facility,18,true
amenity,studio,amenity-studio,18,true
amenity,taxi,amenity-taxi,18,true
amenity,theatre,amenity-theatre,18,true
amenity,toilets,amenity-toilets,18,true
amenity,townhall,amenity-townhall,18,true
amenity,university,amenity-university,18,true
amenity,veterinary,amenity-veterinary,18,true
amenity,waste_disposal,amenity-waste_disposal,18,true
barrier,avalanche_protection,barrier-avalanche_protection,18,true
barrier,block,barrier-block,18,true
barrier,bollard,barrier-bollard,18,true
barrier,chain,barrier-chain,18,true
barrier,city_wall,barrier-city_wall,18,true
barrier,ditch,barrier-ditch,18,true
barrier,embankment,barrier-embankment,18,true
barrier,fence,barrier-fence,18,true
barrier,field_boundary,barrier-field_boundary,18,true
barrier,gate,barrier-gate,18,true
barrier,guard_rail,barrier-guard_rail,18,true
barrier,handrail,barrier-handrail,18,true
barrier,hedge,barrier-hedge,18,true
barrier,hedge_bank,barrier-hedge_bank,18,true
barrier,kerb,barrier-kerb,18,true
barrier,line,barrier-line,18,true
barrier,retaining_wall,barrier-retaining_wall,18,true
barrier,toll_booth,barrier-toll_booth,18,true
barrier,traffic_island,barrier-traffic_island,18,true
barrier,wall,barrier-wall,18,true
barrier,wire_fence,barrier-wire_fence,18,true
barrier,wood_fence,barrier-wood_fence,18,true
bridge,aqueduct,bridge-aqueduct,18,true
bridge,boardwalk,bridge-boardwalk,18,true
bridge,movable,bridge-movable,18,true
bridge,suspension,bridge-suspension,18,true
bridge,viaduct,bridge-viaduct,18,true
building,abandoned,building-abandoned,18,true
building,agricultural,building-agricultural,18,true
building,allotment_house,building-allotment_house,18,true
building,apartment,building-apartment,18,true
building,apartments,building-apartments,18,true
building,bangunan,building-bangunan,18,true
building,barn,building-barn,18,true
building,beach_hut,building-beach_hut,18,true
building,boathouse,building-boathouse,18,true
building,bridge,building-bridge,18,true
building,building,building-building,18,true
