key,value,label,zoom,usa only
historic,castle,castle,18,false
attraction,roller_coaster,rollercoaster,17,false
denomination,catholic,catholicchurch,18,true
amenity,swimming_pool,swimmingpool,18,true
leisure,playground,playground,18,true
leisure,garden,garden,18,true
leisure,golf_course,golfcourse,16,true
leisure,marina,marina,17,true
leisure,miniature_golf,miniaturegolf,18,false
leisure,bandstand,bandstand,18,false
leisure,hot_spring,hotspring,18,false
leisure,stadium,stadium,18,true
leisure,water_park,waterpark,18,true
building,shed,shed,18,true
building,barn,barn,18,true
building,greenhouse,greenhouse,18,true
building,static_caravan,caravan,18,true
building,houseboat,houseboat,18,true
building,storage_tank,storagetank,18,true
building,stable,stable,18,true
building,mosque,mosque,18,true
building,slurry_tank,slurrytank,18,true
building,dam,dam,18,true
building,pavilion,pavilion,18,true
building,silo,silo,18,true
building,transformer_tower,transformertower,18,true
building,cathedral,cathedral,18,false
building,beach_hut,beachhut,18,false
building,monastery,monastery,18,false
building,gazebo,gazebo,18,false
building,mall,mall,18,false
building,railway_station,railwaystation,18,false
